Ratio,0.091,0.167,0.333,0.500,0.667,0.750,0.800,0.857,,Pearsons
PAA1,0.0102,0.0180,0.0275,0.0392,0.0505,0.0489,0.0467,0.0530,,0.952
PAA2,0.0063,0.0072,0.0118,0.0121,0.0139,0.0218,0.0351,0.0195,,0.652
PAB1,0.0091,0.0117,0.0209,0.0391,0.0377,0.0377,0.0268,0.0397,,0.721
PAB2,0.0017,0.0062,0.0147,0.0223,0.0295,0.0277,0.0303,0.0250,,0.894
PAC1,0.0076,0.0092,0.0210,0.0339,0.0373,0.0395,0.0546,0.0512,,0.955
PAD1,0.0056,0.0070,0.0103,0.0151,0.0160,0.0147,0.0149,0.0147,,0.826
PAD2,0.0039,0.0068,0.0141,0.0162,0.0200,0.0225,0.0255,0.0228,,0.959
PAE1,0.0046,0.0095,0.0208,0.0352,0.0395,0.0356,0.0389,0.0490,,0.928
PAE2,0.0063,0.0082,0.0184,0.0240,0.0269,0.0282,0.0266,0.0293,,0.925
PAF1,0.0106,0.0173,0.0239,0.0303,0.0292,0.0379,0.0406,0.0492,,0.920
PAF2,0.0032,0.0083,0.0128,0.0155,0.0182,0.0184,0.0152,0.0209,,0.847
PAG1,0.0080,0.0100,0.0208,0.0291,0.0394,0.0431,0.0498,0.0423,,0.966
,,,,,,,,,,
Ratio,0.091,0.167,0.333,0.500,0.667,0.750,0.800,0.857,,Pearsons
PBA1,0.0076,0.0104,0.0170,0.0207,0.0246,0.0288,0.0337,0.0449,,0.898
PBB1,0.0066,0.0074,0.0191,0.0276,0.0223,0.0206,0.0172,0.0227,,0.498
PBB2,0.0009,0.0016,0.0034,0.0035,0.0110,0.0109,0.0160,0.0161,,0.891
PBC1,0.0000,0.0000,0.0162,0.0309,0.0373,0.0344,0.0295,0.0388,,0.877
PBC2,0.0000,0.0000,0.0000,0.0096,0.0144,0.0147,0.0146,0.0190,,0.931
PBD1,0.0053,0.0097,0.0150,0.0147,0.0221,0.0228,0.0231,0.0271,,0.955
PBD2,0.0094,0.0162,0.0286,0.0318,0.0426,0.0457,0.0441,0.0538,,0.969
PBE1,0.0070,0.0097,0.0156,0.0224,0.0323,0.0373,0.0334,0.0519,,0.914
PBE2,0.0007,0.0003,0.0036,0.0069,0.0080,0.0105,0.0106,0.0133,,0.973
PBF1,0.0093,0.0122,0.0205,0.0310,0.0368,0.0412,0.0473,0.0459,,0.991
PBG1,0.0085,0.0165,0.0203,0.0323,0.0331,0.0345,0.0334,0.0442,,0.912
,,,,,,,,,,
,,,,,,,,,Average,0.885
